Student_ID,First_Name,Last_Name,Department,Gender,Age,Attendance (%),Attendence Category,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Study_Hours_Category,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1038,Ali,Williams,Business,Male,18,52.79,Low,65.86,99.66,95.22,71.16,25.7,61.86,69.91,C,13.1,Medium,Yes,No,Master's,High,3,7.6
S1039,John,Johnson,Mathematics,Female,23,98.89,High,59.92,54.13,89.57,85.03,19.4,83.65,65.28,C,28.9,High,No,No,PhD,Low,8,4.7
S1040,John,Johnson,Business,Male,24,89.53,High,93.05,54.35,66.66,52.16,84.1,91.5,73.64,C,26.2,High,Yes,No,Master's,Medium,4,6
S1041,Omar,Smith,CS,Male,23,74.51,Medium,87.26,81.21,59.03,68.7,68,98.97,77.2,B,9.1,Low,Yes,Yes,High School,High,8,4.6
S1042,Sara,Davis,CS,Male,20,54.33,Low,77.55,91.56,63.98,67.31,45.1,56.61,67.02,C,18.6,Medium,No,No,High School,Low,2,4
S1043,Liam,Williams,Engineering,Male,18,79.62,Medium,60.28,63.22,66.63,62.24,82.6,57.8,65.46,D,17.3,Medium,Yes,Yes,Master's,Low,8,7.1
S1044,Maria,Smith,Business,Male,22,87.94,High,82.04,92.54,77.85,82.71,71.7,52.12,76.49,C,16.1,Medium,No,Yes,Bachelor's,High,8,6.4
S1045,Maria,Brown,CS,Male,21,59.54,Low,90.62,60.41,52.32,64.5,91.4,63.02,70.38,D,16.8,Medium,Yes,Yes,Master's,Medium,10,6.1
S1046,Liam,Smith,CS,Male,24,78.41,Medium,75.69,51.82,95.72,80.34,7.7,91.05,67.05,C,21.1,High,Yes,No,None,Medium,3,4.4
S1047,Omar,Jones,Business,Female,23,90.71,High,87.07,59.78,54.93,75.22,50.9,59.91,64.64,D,29.2,High,No,No,High School,High,2,6.9
S1048,Emma,Smith,Engineering,Male,18,88.41,High,84.95,76.56,63.96,60.86,70.7,77.39,72.4,C,26.9,High,No,No,Master's,Low,7,7.9
S1049,Emma,Jones,Engineering,Male,24,90.15,High,74.3,62.03,55.46,63.33,20.7,72.32,58.02,D,26.9,High,No,Yes,Bachelor's,Medium,9,4.3
S1050,Omar,Jones,Engineering,Female,19,93.97,High,58.73,80.37,62.83,58.53,32.7,66.29,59.91,D,22.6,High,Yes,Yes,Bachelor's,Low,10,6.1
S1051,Emma,Jones,Engineering,Female,20,96.88,High,84.75,54.22,91.88,52.83,41.9,80.92,67.75,C,5.4,Low,No,Yes,Bachelor's,Medium,1,5.6
S1052,John,Brown,CS,Female,19,70.28,Medium,52.41,82.06,80.76,80.96,79.4,75.12,75.12,C,16,Medium,Yes,No,PhD,Low,5,8.5
S1053,Maria,Smith,Business,Female,23,78.44,Medium,86.77,60.85,61.37,83.64,49.4,66.74,68.13,D,17.8,Medium,No,No,PhD,Medium,3,5.3
S1054,Omar,Smith,Business,Male,19,89.53,High,88.27,67.35,93.59,58.3,49.3,84.44,73.54,C,26.1,High,Yes,Yes,PhD,Low,9,8.7
S1055,Maria,Brown,CS,Female,19,84.86,Medium,89.33,73.46,90.04,80.77,43.1,64,73.45,C,28.1,High,No,Yes,None,Low,8,8.1
S1056,Liam,Williams,CS,Female,20,99.78,High,68.37,81.17,87.68,99.1,22.9,82.16,73.56,C,16.3,Medium,No,Yes,None,Medium,9,4.5
S1057,Ali,Johnson,CS,Male,20,50.68,Low,51.55,54.32,92.38,53.72,92.3,97.86,73.69,C,12.5,Medium,Yes,Yes,Master's,Medium,9,6.4
S1058,John,Smith,Mathematics,Male,20,67.76,Low,45.98,90.16,80.98,74.52,31.8,86.45,68.32,C,13.4,Medium,No,Yes,PhD,Low,10,7.2
S1059,Ahmed,Johnson,Business,Male,24,64.05,Low,84.6,83.31,75.07,86.65,56.7,70.92,76.21,C,19.5,Medium,No,Yes,PhD,High,3,7
S1060,John,Davis,Business,Female,20,63.12,Low,93.18,54.05,68.7,52.3,14.9,87.38,61.75,D,11.9,Medium,Yes,No,None,Low,7,7.4
S1061,Omar,Davis,Business,Male,19,61.13,Low,79.05,98.5,61.19,88.91,43.4,90.46,76.92,B,27.8,High,Yes,Yes,Bachelor's,High,5,6.1
S1062,Ahmed,Brown,Engineering,Female,22,85.46,High,48.65,79.89,77.87,98.98,90.4,66.29,77.01,C,15.5,Medium,Yes,No,Bachelor's,Medium,6,8.5
S1063,Ali,Davis,CS,Male,22,54.24,Low,96.09,67.15,94.47,54.42,99.5,85.26,82.82,B,29.8,High,Yes,Yes,High School,High,8,5.4
S1064,Omar,Davis,CS,Male,20,87.08,High,99.35,49.45,79.7,91.11,36.2,71.72,71.26,C,7.7,Low,No,Yes,Master's,Low,10,4.5
S1065,Sara,Williams,CS,Female,24,84.67,Medium,66,71.99,95.98,68.93,15.4,90.93,68.21,C,9.7,Low,No,No,Master's,Medium,8,8.9
S1066,Maria,Williams,Mathematics,Male,21,62.54,Low,75.69,49.89,67.85,57.21,31.4,64.77,57.8,D,17.8,Medium,Yes,No,PhD,Medium,7,7.3
S1067,Ali,Williams,Business,Male,18,62.64,Low,86.63,65.77,84.76,74.66,32.7,96.89,73.57,B,26.7,High,Yes,No,None,High,1,7.3
S1068,Maria,Davis,CS,Male,23,81.44,Medium,84.18,64.52,82.43,53.58,64.5,78.74,71.33,C,13.8,Medium,Yes,No,Master's,Medium,1,8.1
S1069,Emma,Brown,Mathematics,Male,24,88.11,High,98.07,83.2,83.52,76.11,49.6,67.67,76.36,C,25.9,High,No,Yes,Bachelor's,High,6,6.1
S1070,Sara,Jones,CS,Male,21,93.82,High,46.89,51.54,82.25,50.97,76.8,70.97,63.24,D,15.6,Medium,No,Yes,None,Low,9,5.9
S1071,Sara,Jones,Engineering,Female,23,92.61,High,74.84,89.31,61.08,86.43,70.1,67.39,74.86,C,26.3,High,Yes,Yes,PhD,Medium,8,8.7
S1072,Ali,Johnson,Business,Female,21,98.24,High,81.52,59.57,57.18,74.4,25.1,57.31,59.18,D,11.9,Medium,No,Yes,PhD,Low,1,5.9
S1073,Sara,Jones,Mathematics,Male,21,79.07,Medium,93.41,66.64,98.93,72.95,78.4,53.42,77.29,C,16.8,Medium,Yes,No,Master's,High,8,4.4
S1074,Ahmed,Jones,CS,Female,22,95.43,High,92.45,86.34,52.26,59.81,84.7,66.09,73.61,C,12,Medium,No,Yes,Master's,High,5,5.5
S1075,Sara,Williams,Business,Female,18,90.43,High,98.68,77.52,73.39,68.06,59.8,72.93,75.06,C,10.4,Medium,No,No,High School,Low,2,8.4
S1076,Maria,Williams,Mathematics,Female,21,94.73,High,70.72,58.48,71.25,59.09,92.8,68.09,70.07,D,15.5,Medium,No,Yes,Master's,High,7,4.5
S1077,Maria,Davis,Business,Male,20,50.58,Low,89.85,63.17,68,86.77,78.3,50.7,72.8,D,13.4,Medium,Yes,Yes,Master's,High,2,7.6
S1078,Omar,Johnson,Business,Male,23,98.3,High,65.64,58.35,89.1,59.95,59.5,78.95,68.58,C,24.7,High,Yes,No,Bachelor's,Low,4,5.3
S1079,Maria,Smith,Engineering,Male,24,73.68,Medium,65.34,75.69,87.27,80.84,90.6,57.24,76.16,C,23.7,High,Yes,Yes,Bachelor's,Low,4,7.7
S1080,Omar,Johnson,Business,Female,22,89.91,High,55.2,59.96,95.26,63.98,60,60.55,65.83,D,14,Medium,No,Yes,None,Medium,5,6.6
S1081,Maria,Johnson,Mathematics,Female,23,56.36,Low,89.09,83.54,69.77,82.85,52.1,56.04,72.23,C,29.8,High,No,No,Master's,Medium,6,7.2
S1082,Ahmed,Brown,Business,Male,20,69.8,Low,99.15,74.79,78.21,77.02,35.6,76.02,73.47,C,29.3,High,Yes,Yes,Master's,Low,2,5.2
S1083,Liam,Davis,Mathematics,Male,20,63.57,Low,55.38,48.74,94.62,71.17,88.3,54.76,68.83,D,27.9,High,Yes,Yes,PhD,Medium,8,4.8
S1084,Omar,Brown,Business,Female,21,64.58,Low,43.37,58.62,99.69,83.65,12.3,62.82,60.08,D,19.7,Medium,Yes,Yes,Bachelor's,High,9,4.3
S1085,John,Johnson,CS,Female,20,56.16,Low,88.93,53.29,98.46,70.79,47.4,72.59,71.91,C,15.3,Medium,No,No,PhD,Medium,3,8.1
S1086,Emma,Johnson,Engineering,Male,18,90.29,High,77.21,63.42,85.89,91.07,53.7,58.39,71.61,D,12.8,Medium,No,No,Master's,Medium,7,7.6
S1087,Ali,Johnson,CS,Female,20,50.46,Low,97.58,70.96,57.16,86.48,55.5,72.31,73.33,C,5.4,Low,No,Yes,Bachelor's,High,4,5.5
S1088,Maria,Jones,Engineering,Female,21,65.63,Low,55.13,70.41,51.16,77.03,65.2,67.14,64.35,D,20.8,Medium,No,Yes,Master's,Low,10,8.2
S1089,Sara,Brown,Mathematics,Female,23,58.72,Low,44.26,85.27,91.26,93.85,50.6,93.03,76.38,B,18.8,Medium,Yes,Yes,High School,High,4,8.2
S1090,Liam,Johnson,Engineering,Female,20,79.45,Medium,69.55,51.35,92.05,91.44,25.7,89.75,69.97,C,20.7,Medium,No,Yes,PhD,Medium,1,4.7
S1091,Maria,Williams,Business,Female,22,62.71,Low,45.13,96.79,87.32,76.59,85.7,99.64,81.86,B,19.4,Medium,Yes,No,Bachelor's,High,5,7.6
S1092,Sara,Davis,Business,Female,24,62.95,Low,55.71,60.57,64,53.42,65.8,76.45,62.66,D,8.4,Low,No,No,Bachelor's,Low,6,5.5
S1093,Emma,Davis,CS,Female,22,74.42,Medium,47.56,58.01,81.99,78.3,85.8,78.77,71.74,D,22.4,High,Yes,No,Master's,Medium,5,6.3
S1094,Emma,Williams,Engineering,Male,22,82.63,Medium,53.45,81.11,65.81,67.76,27.6,97.33,65.51,C,14,Medium,Yes,Yes,Master's,Low,6,6.2
S1095,Emma,Davis,Mathematics,Male,23,56.07,Low,46.37,88.33,72.53,77.01,63.7,69.98,69.65,C,17.9,Medium,No,No,None,Low,3,7
S1096,Sara,Jones,Mathematics,Female,19,58.78,Low,97.23,62.71,69.12,82.36,71.4,77.78,76.77,C,14.1,Medium,No,No,None,High,2,5.7
S1097,Maria,Jones,Business,Female,24,62.36,Low,56.71,84.81,95.68,82.24,38.3,68.95,71.12,C,5.5,Low,No,Yes,PhD,Low,5,4.4
S1098,Emma,Smith,Mathematics,Female,22,98.69,High,66.63,93.02,61.71,83.68,81.2,77.29,77.26,C,26.9,High,No,No,Bachelor's,High,6,7.4
S1099,Ahmed,Smith,Business,Male,22,69.86,Low,93.92,86.01,78.88,83.96,0.3,54.04,66.19,C,8.7,Low,Yes,Yes,Master's,High,10,8.8
S1100,Omar,Smith,Business,Male,19,79.95,Medium,80.64,42.05,68.05,55.46,59.5,89.19,65.82,D,19.6,Medium,No,Yes,PhD,Medium,6,7.3
S1101,Sara,Davis,Business,Female,23,62.08,Low,77.08,89.64,83.15,59.59,61.4,99.26,78.35,B,27.1,High,No,Yes,Bachelor's,Low,5,6.7
S1102,Sara,Jones,CS,Male,24,74.52,Medium,82.33,86.47,78.23,81.53,53.4,53.29,72.54,C,10.5,Medium,No,No,Master's,Low,2,4.8
S1103,Maria,Jones,CS,Female,22,53.71,Low,89.73,80.16,96.2,70.41,63,90.05,81.59,B,15.3,Medium,No,No,None,Low,1,7.1
S1104,Sara,Jones,Business,Female,21,51.74,Low,92.66,85.6,55.08,88.14,16.7,62.09,66.71,C,14.4,Medium,No,Yes,Bachelor's,Low,10,7.1
S1105,Sara,Williams,Business,Female,23,73.44,Medium,78.56,98.77,61.03,56.25,68.5,59.88,70.5,C,7.2,Low,No,No,Master's,Low,6,7.1
S1106,Emma,Jones,Business,Female,24,69.93,Low,93.4,65.87,88.32,59.58,33.6,84.67,70.91,C,15.6,Medium,Yes,No,PhD,High,1,8.5
S1107,Maria,Williams,Mathematics,Female,22,56.84,Low,72.12,44.03,68.44,77.92,45.2,52.21,59.99,F,17,Medium,Yes,Yes,PhD,Medium,1,7.6
S1108,Emma,Smith,Business,Female,22,84.38,Medium,56.64,67.65,58.29,75.04,33.3,73.16,60.68,D,5.7,Low,Yes,No,High School,Medium,6,7.9
S1109,Omar,Smith,Business,Female,19,99.65,High,92.8,42.79,75.17,63.32,47.4,50.07,61.93,F,17.2,Medium,No,No,Bachelor's,Low,1,5.6
S1110,Liam,Davis,Engineering,Male,24,69.78,Low,72.49,57.66,82.61,70.42,62.2,77.72,70.52,C,7.3,Low,Yes,Yes,PhD,High,2,5.4
S1111,Omar,Smith,Engineering,Female,21,81.23,Medium,94.37,75.21,52.24,51.75,83.8,73.1,71.75,C,27.3,High,No,Yes,Bachelor's,High,1,5
S1112,Liam,Davis,Engineering,Male,23,98.15,High,42.41,58.58,64.58,51.85,48.3,95.77,60.25,D,21.3,High,Yes,No,PhD,Low,7,7.9
S1113,Emma,Johnson,Engineering,Female,20,91.58,High,63.85,81.12,90.47,54.75,32.3,86.01,68.08,C,6.4,Low,Yes,Yes,Bachelor's,Medium,4,7.5
S1114,Omar,Johnson,Business,Female,18,73.18,Medium,96.87,89.32,76.01,78.84,48.8,56.3,74.36,C,25.7,High,No,Yes,Bachelor's,Low,4,5.7
S1115,Maria,Brown,Engineering,Male,21,86.87,High,54.98,65.23,51.77,93.19,68.9,67.73,66.97,D,14,Medium,Yes,Yes,Bachelor's,High,4,4.7
S1116,Ali,Davis,Mathematics,Male,20,56.41,Low,96.49,94.01,64.1,63.01,34.7,96.58,74.82,B,10.6,Medium,No,No,High School,Low,5,8.2
S1117,Emma,Brown,Mathematics,Female,21,75.61,Medium,97.23,44.79,81.96,51.7,41.4,86.27,67.23,C,11.3,Medium,No,Yes,None,Low,9,5.9
S1118,Liam,Brown,Engineering,Male,24,63.95,Low,92.93,90.41,59.97,85.43,56.3,79.71,77.46,B,19.9,Medium,Yes,Yes,Bachelor's,Low,5,4.9
S1119,Ahmed,Johnson,CS,Female,20,58.06,Low,73.82,89.71,91.37,92.77,29.4,77.95,75.84,B,7,Low,Yes,No,None,High,10,4.7
S1120,Liam,Davis,Mathematics,Female,24,71.31,Medium,78.82,59.32,83.83,56.91,20.9,69.9,61.61,D,6.5,Low,Yes,No,None,Medium,2,8.6
S1121,Ahmed,Johnson,Mathematics,Male,20,56.55,Low,92.18,57.92,73.57,69.29,14,79.26,64.37,C,20.7,Medium,Yes,No,None,Low,8,4.7
S1122,Sara,Brown,Engineering,Male,21,84.95,Medium,86.55,58.31,95.78,57.94,35.3,88.58,70.41,C,29.5,High,Yes,No,PhD,Medium,8,5.8
S1123,Omar,Davis,Engineering,Male,19,72.81,Medium,77.81,88.68,69.59,55.32,4.8,56.38,58.76,D,17.1,Medium,No,Yes,Master's,Medium,9,7.2
S1124,Ahmed,Brown,Business,Male,21,76.56,Medium,98.94,89.9,61.75,82.41,58.3,98.49,81.63,B,15.3,Medium,Yes,No,None,High,4,6
S1125,Liam,Jones,Mathematics,Female,24,57.32,Low,81.14,59.78,83.07,98.38,17.6,61.97,66.99,D,28.7,High,No,Yes,Bachelor's,Low,3,6.4
S1126,Sara,Davis,Engineering,Male,21,56.99,Low,98.53,75.56,78.66,83.91,37.7,72.39,74.46,C,11,Medium,No,Yes,Master's,Low,10,8
S1127,Ali,Davis,Engineering,Male,20,79.17,Medium,43.44,48.34,66.76,99.24,26.9,51.14,55.97,F,11,Medium,No,No,PhD,Medium,6,9
S1128,Maria,Brown,Business,Male,18,99.25,High,48.34,68.13,67.18,71.72,63,77.52,65.98,D,27.6,High,Yes,No,High School,Medium,1,6.3
S1129,Maria,Jones,Mathematics,Male,20,54.81,Low,67.09,99.93,69.91,94.89,85,69.09,80.99,C,21.2,High,Yes,No,None,Medium,6,5.9
S1130,Maria,Williams,Engineering,Male,22,64.29,Low,63.09,49.53,64.56,60.25,63.3,62.49,60.54,F,6.3,Low,Yes,Yes,None,High,5,6
S1131,Ahmed,Johnson,Business,Female,21,93.47,High,86.96,96.85,85.51,55.9,54.3,99.28,79.8,B,21.8,High,No,Yes,PhD,High,1,5.8
S1132,Ali,Brown,Engineering,Female,23,53.61,Low,49.64,89.46,82.57,85.13,66.9,71.41,74.19,C,25.5,High,Yes,No,Bachelor's,Medium,6,6.4
S1133,Ahmed,Davis,CS,Male,21,93.79,High,98.57,98.33,72.04,68.57,3,70.71,68.54,C,11.8,Medium,Yes,Yes,Bachelor's,High,3,5.7
S1134,Omar,Johnson,CS,Male,19,76.21,Medium,58.9,50.77,69.89,65.88,12.3,73.16,55.15,D,14.6,Medium,Yes,Yes,Master's,High,8,6.3
S1135,Ahmed,Johnson,Engineering,Female,24,70.41,Medium,65.74,52.81,68.25,83.56,9.5,55.81,55.95,F,9.9,Low,No,No,Master's,High,3,8.7
S1136,Ali,Johnson,Mathematics,Male,23,65.48,Low,56.48,41.01,64.17,66.67,9.8,69.65,51.3,F,20.8,Medium,No,No,Bachelor's,Low,3,5.4
S1137,Ali,Williams,CS,Female,20,64.86,Low,74.76,83.48,54.28,78.63,26,66.82,64,D,21.6,High,Yes,No,High School,High,7,7.3
S1138,Omar,Smith,Business,Female,19,65.29,Low,43.52,78.65,63.41,64.97,53.2,73.26,62.84,D,6.7,Low,Yes,No,Bachelor's,Medium,1,6.4
S1139,Ali,Brown,Engineering,Male,21,94.24,High,48.98,50.68,66.06,89.19,11.5,92.83,59.87,D,21.9,High,Yes,Yes,High School,Low,10,7.7
S1140,Liam,Smith,Business,Female,20,86.19,High,84.75,87.47,77.38,65.62,93.5,59.64,78.06,C,21.5,High,No,No,PhD,Medium,10,6.4
S1141,Ali,Smith,CS,Male,20,83.49,Medium,51.19,57.95,88.69,76.75,85.4,80.39,73.4,C,5.9,Low,Yes,No,High School,High,8,4.8
S1142,Maria,Smith,Mathematics,Male,22,89.94,High,54.13,48.1,69.79,51.16,97.2,51.88,62.04,F,18.9,Medium,No,Yes,PhD,Medium,4,8.4
S1143,Liam,Johnson,Business,Female,22,62.86,Low,87.58,65.35,97.24,89.59,4.3,65.84,68.32,C,20.3,Medium,No,No,None,Medium,5,7.4
S1144,Liam,Jones,CS,Female,18,80.9,Medium,45.6,45.46,91.37,81.02,85.1,73.63,70.36,D,15.8,Medium,No,Yes,Bachelor's,High,5,6.6
S1145,Omar,Johnson,CS,Male,22,73,Medium,66.25,55.79,99.24,59.61,80.4,53.71,69.17,D,27.5,High,No,Yes,Master's,Medium,4,8.2
S1146,John,Johnson,CS,Female,24,89.12,High,41.38,62.28,93.81,60.77,90.2,77.2,70.94,D,13.2,Medium,No,Yes,None,High,1,8.9
S1147,John,Davis,Business,Male,23,65.46,Low,60.81,91.11,80.84,63.12,52.8,65.52,69.03,C,6.7,Low,No,Yes,Master's,High,3,6
S1148,Ali,Davis,CS,Female,20,82.16,Medium,81.94,87.55,79.92,78.83,78.8,99.64,84.45,B,21.8,High,Yes,No,High School,High,8,5.8
S1149,Liam,Smith,Engineering,Female,22,94.11,High,45.41,66.57,56.48,77.42,5.1,81.55,55.42,D,20.1,Medium,No,Yes,Bachelor's,Medium,2,7.8
S1150,John,Johnson,CS,Male,18,70.11,Medium,93.3,83.47,86.12,63.69,7.6,62.21,66.07,C,29.7,High,No,No,Bachelor's,Medium,8,6.3
S1151,John,Smith,Engineering,Male,21,53.33,Low,94.57,74.12,80.01,84.7,11.9,55.13,66.74,C,10.8,Medium,No,Yes,Bachelor's,Medium,4,4.4
S1152,Ali,Davis,Mathematics,Male,23,75.8,Medium,46.3,60.45,75.35,94.45,91.5,52.04,70.02,D,14.9,Medium,Yes,Yes,None,Low,9,5.8
S1153,John,Jones,Engineering,Female,22,67.3,Low,99.44,83.55,84.66,52.18,6.1,54.54,63.41,C,16.5,Medium,No,No,PhD,Medium,8,8
S1154,Ahmed,Brown,Mathematics,Male,20,83.61,Medium,57.85,81.01,72.2,70.86,10,84,62.65,C,26.5,High,No,Yes,High School,High,8,7.5
S1155,Sara,Smith,Mathematics,Male,21,97.55,High,45.05,77.15,76.19,79.68,93,92.75,77.3,C,15.4,Medium,No,No,None,High,4,8.3
S1156,Omar,Jones,Engineering,Female,24,74.28,Medium,40.3,77.08,69.92,79.32,10.7,57.84,55.86,D,24.3,High,No,Yes,None,Low,2,4.7
S1157,Sara,Brown,Mathematics,Female,20,73.31,Medium,64.51,80.98,85.87,50.98,87,70.11,73.24,C,8.9,Low,Yes,Yes,PhD,Low,8,5.2
S1158,Ali,Williams,Engineering,Male,21,82.73,Medium,77.79,63.07,93.83,60.53,78.9,67.71,73.64,C,15.2,Medium,No,Yes,Master's,Low,7,5.1
S1159,Maria,Smith,Business,Male,24,55.17,Low,59.93,92.14,92.04,53.09,4,82.23,63.91,C,8.9,Low,No,Yes,Master's,Low,2,8.9
S1160,Omar,Smith,Mathematics,Male,24,62.68,Low,90.2,49.74,89.3,78.45,2.2,59.13,61.5,D,28.7,High,No,No,Bachelor's,Medium,7,4.8
S1161,Ali,Williams,Engineering,Male,23,95.95,High,83,93.03,50.69,82.27,53.4,97.67,76.68,B,9.4,Low,Yes,No,None,Medium,1,7
